epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.5591,0.63229,0.83333,1,0.39042,0.00035007,0.00035007,0.00035007
2,42.9484,0.38873,0.83333,1,0.36899,0.00071611,0.00071611,0.00071611
3,63.2043,0.33444,0.80952,1,0.51293,0.00107932,0.00107932,0.00107932
4,83.8346,0.31302,0.85714,1,0.47103,0.00143757,0.00143757,0.00143757
5,104.412,0.27978,0.88095,1,0.25705,0.00164108,0.00164108,0.00164108
6,125.122,0.2376,0.71429,1,0.60229,0.00162661,0.00162661,0.00162661
7,145.893,0.29926,1,1,0.0388,0.00160905,0.00160905,0.00160905
8,166.035,0.20302,0.83333,1,0.3503,0.00158847,0.00158847,0.00158847
9,185.806,0.2914,0.90476,1,0.14764,0.00156493,0.00156493,0.00156493
10,205.082,0.3539,0.90476,1,0.25324,0.00153854,0.00153854,0.00153854
11,224.761,0.2753,0.90476,1,0.32324,0.00150941,0.00150941,0.00150941
12,244.891,0.4199,0.95238,1,0.10243,0.00147764,0.00147764,0.00147764
13,265.348,0.34982,0.88095,1,0.26001,0.00144335,0.00144335,0.00144335
14,286.342,0.27329,0.95238,1,0.2735,0.0014067,0.0014067,0.0014067
